,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93
"Boiled,Unk,Unk",636512,1203698,4350629,1,306155,893756,1,326432,182994,274567,208289,123669,1229277,180238,767197,5076039,3245254,211225,688774,319495,724699,132150,27812,4326561,458639,1,25431653,4519927,1,5499673,341619,67830132,34676062,43950786,2171309,2382039,6031123,15983134,6653820,1129330,6526418,1238873,1813199,5453494,298462,298462,673839,1276309,1,34572,8554160,7590724,12640751,7518409,1900704,1201448,47692951,7434413,552266,494534,880118,4595998,14603290,141529,1227233,1,258800,19968,4658044,559986,480154,97902,1084317,3081497,1543079,651900,1097247,3515076,229880,25531,823650,445326,1,627931,408373,360946,669414,257265,290359,615347,102211,441962,150772
"Boiled,Unk,Unk",1389465,2016266,4098271,519930,1281754,5453497,410790,1,875360,572310,427133,122484,964122,1234239,1951841,2167480,4988040,1584862,154789,259205,1430540,348375,1,4295111,593097,301504,1829889,20396845,1,741325,365420,25790154,10607566,13925408,6669309,1893030,6570221,15154219,905758,611157,2590827,569034,7344183,5060367,922652,837675,2241153,2806856,340448,438171,561735,362772,316176,3143417,661203,421938,12740093,2455549,1297335,1288578,338435,153058,4075243,626349,754065,33630,245328,1,40115257,831674,864425,48102,2220569,146729,2370184,848605,1231622,1,1,45094,719106,1111079,445791,554144,79443,467126,40876,218018,376641,1526695,1636294,330888,70715
"Boiled,Unk,Unk",1295359,2364678,6448493,507803,646532,2351410,1,1,446567,266039,288308,77856,866973,556355,1795732,5715366,6077489,978826,1132903,352933,916089,224898,24677,4676751,665105,57938,18142669,11784518,103436,2174573,582781,55450838,24121386,31727012,7249067,3282501,10678898,23154730,8665396,1643162,5172156,826195,3007736,3946193,259389,462389,1156104,1823023,197180,47207,2992227,2571218,951596,5868644,1369135,501528,26972840,4211025,1197602,725930,465330,316605,9199330,330025,504790,1,247206,1,8068329,707145,603889,74630,1662241,1021566,1739691,354625,1323491,3010314,207125,40911,738284,643904,1,404876,1,1,504954,46812,368026,934746,419482,827845,109782
"Cold Brew,Arabica,Medium",641721,701978,1604718,227404,398910,1420502,71605,258931,154535,117049,144164,54598,1087136,446162,861161,1510586,2902159,1540550,748197,161755,357913,126100,1,4367152,222617,60932,1,6989759,1,558589,114987,28455240,10652846,15939326,4270966,1395212,4354281,10848680,6094363,510959,1907872,385819,2858832,2885901,256551,352382,1037964,785755,99756,115535,424499,241648,116382,3667501,790528,518512,12017242,2104523,799683,532655,183338,38795,4552562,240829,1219753,1,279053,61543,12866769,350862,386309,32964,1173206,146161,879672,516963,1309139,1165421,17136,25784,377421,369865,70951,589285,116640,184954,279941,1,371452,210738,353531,521541,66915
"Cold Brew,Arabica,Medium",790929,564714,1344359,490832,346021,1474590,1,197467,278353,65305,138090,73923,553699,430668,957117,3868888,2819866,1209625,1,96323,330126,129929,17488,4448610,179590,25608,13413788,6184965,18162,944505,90511,35869146,13926144,20831723,3671539,1604808,4558287,11613981,3808766,660624,2261345,428692,2363054,3042703,160920,313089,837985,1090979,124257,83660,526767,402837,239278,4442493,966994,516238,14537941,2478156,697939,551700,203169,48539,4805069,193508,134992,1,219956,1,3810142,340254,267462,35669,900719,158667,928009,102077,594684,1213017,114406,24237,404394,305166,1,1,1,1,1,1,285424,546059,191789,429220,85617
"Cold Brew,Arabica,Medium",677989,771489,1460398,501352,480738,2016850,1,211312,485057,92621,173856,127933,642141,497337,910575,3627526,2861484,793353,1,146739,577287,135600,20064,4854087,213139,59315,6977450,6836542,1,581996,94557,29037524,10764718,15745145,3937832,1397647,4129737,10693904,4287870,500247,1755719,380796,2513122,2622781,253470,362594,1033192,1210835,166027,134944,383387,239732,152754,2443569,716682,380196,11683863,2098324,726033,574330,243598,1,3288227,272453,527226,1,263878,26204,6888617,564613,350119,1,1093278,128543,813212,141558,1116977,990805,18118,23981,368938,427724,106830,280480,1,130452,1,1,397000,786101,323824,382227,81713
"Cold Brew,Blend,Medium",622766,353636,805262,427359,49265,1400095,209490,228382,325743,253661,204833,107169,863854,513269,694464,1676502,4641277,1094230,779462,160977,379208,99214,3762,4630964,112520,129613,4672161,4236001,37477,418389,60079,20260525,7768797,10488980,3310234,986922,3127272,8207768,1563433,287036,1273299,273154,4281977,3173616,544076,498235,1132511,1262890,128014,199231,318360,193340,952438,2573034,599438,2099369,14418312,3167769,1362232,610277,290850,518461,2727023,348161,737271,1,254765,41714,13233034,765003,355014,1,1136184,121693,907159,783939,1232880,464368,8024,25068,522076,709892,151318,481451,1,40432,166174,54383,402905,490174,418754,131211,69177
"Cold Brew,Blend,Medium",625847,399047,867156,454727,269968,1372053,149300,206737,297645,201074,170568,90069,893461,343195,734453,1622840,4523582,807569,962473,187517,406520,94264,5269,1,128932,59584,6433129,4133292,51764,367105,53076,27571341,10750083,14931664,3039605,1171691,4117209,10508051,1476930,495854,1492923,310685,3063756,3063146,313788,408499,924653,1075113,103920,126566,604021,439195,1232659,3685700,888196,1724076,19374563,3902041,849110,531499,311465,500902,3564243,262088,736393,1,292558,1,8613069,347802,391729,40744,1178386,165009,865490,735770,1075840,579645,11182,20993,514070,453106,106727,787054,84900,1,174194,194231,460668,484145,395019,208170,80489
"Cold Brew,Blend,Medium",696250,432871,659473,265960,520464,2671319,176727,174524,339284,159690,238857,102297,562690,559898,729381,2139169,4061633,1370983,81914,92814,414551,101889,1,4784970,111712,118496,1,1,40972,182236,57681,22017637,8710290,11734152,3389100,1029427,2893121,7988745,3116508,320517,1126073,253068,3702674,2956103,496713,471329,1190687,1201045,1,162825,373940,257388,1260338,2094462,683052,435075,16241406,3554699,1224519,672944,296950,472004,2512642,299073,134463,58435,240120,38051,10282804,246972,250642,37865,1177406,114808,788848,1059523,545302,409843,1,24504,456054,579925,221410,423768,89405,73405,1,360535,324959,541662,522957,184578,70027
"Espresso,Arabica,Dark,Decaf",2013829,1772347,2095281,490106,1450531,7146940,721873,737999,1448285,359559,228812,70315,773737,1961025,3552322,1249621,4057933,1706806,1,328414,1059056,517369,1,4570950,611948,433325,1780465,32813096,1,1,173602,11209962,5174125,7251352,5097764,1436990,3536037,10312730,1,1,1333958,428636,8203603,4560512,1967355,1251865,4087807,1689556,332460,1,134708,72093,398346,1524289,396048,5076876,6411498,1583024,1409568,3330975,141783,1,1985063,901281,680799,122109,262264,1,23188108,258843,921896,1,3680306,1,1376003,191421,790754,906322,1,57682,505921,858784,671929,733095,1,487964,36382,1,1,1608528,5709783,870127,47531
