data.file,"1-(2-Furanyl)-1,2-butanedione","16,17-Dihydroxy-9(11)-kauren-19-oic acid (i)","16,17-Dihydroxy-9(11)-kauren-19-oic acid (ii)",1-Methyl-2-pyrrolecarboxaldehyde,1-Methyl-2-pyrrolecarboxaldehyde (i),1-Methyl-2-pyrrolecarboxaldehyde (ii),"2,3-Pentanedione",2-Acetyl-5-methylthiophene,2-Ethylthiazole,Dihydroxynicotinamide (i),Dihydroxynicotinamide (ii),2'-Methoxypleurospermine,2-Methyl-5-(1-propenyl)pyrazine,2-Oxobutanoic acid (2-Ketobutyrate),"3-(3,4-Dihydroxyphenyl)-2-propenoic acid","3,4-Dicaffeoylquinic acid lactone","3,4-Dimethyl-1,2-cyclopentanedione",3-Methyl-5-O-Caffeoylquinic acid lactone,4-Coumaric acid,"4-Ethyl-1,2-dimethoxybenzene",4-Methylcatechol,4-O-p-Coumaroylquinic acid 1'-3-Lactone,Adenine,Aspartame (i),Aspartame (ii),Atractyligenin,Baptifoline,Benzenetriol (i),Benzenetriol (ii),Butanedione (iii),Cafamarine,Cafestol,Caffeic acid,Caffeine,Caffeoylquinic acid (i),Caffeoylquinic acid (ii),Caffeoylquinic acid (iii),Caffeoylquinic acid (iv),Caffeoylquinic acid (v),Caffeoylquinic acid derivative (i),Caffeoylquinic acid derivative (ii),Caffeoylquinic acid lactone (i),Caffeoylquinic acid lactone (ii),Campestanol (chalinastanol) (i),Caramel furanone,Cinnamoylglycine,Coixinden A,Coumaroylquinic acid (i),Coumaroylquinic acid (ii),Cyclo(isoleucyl-prolyl) (i),Cyclo(isoleucyl-prolyl) (ii),Cyclo(phenylalanyl-prolyl) (i),Cyclo(phenylalanyl-prolyl) (ii),Cyclo(prolyl-prolyl),Cyclo(prolyl-valyl),Cyclopentanone,Demethoxypleurospermine,"Diacetin (glycerol 1,2-diacetate) (i)","Diacetyl (2,3-Butanedione)",Dicaffeoylquinic acid (i),Dicaffeoylquinic acid (ii),Dihydroxycinnamoyl tryptophan,Ferulic acid,Feruloylquinic acid (i),Feruloylquinic acid (ii),Feruloylquinic acid (iii),Furfuyl alcohol (furanmethanol),Guanosine,Hydroxybenzoic acid (i),Hydroxybenzoic acid (ii),Hydroxycinnamoyl tryptophan,Hydroxyglutarate,Hypoxanthine,Kahweol,Liberine,Linoleic acid,Methionine,Nicotinic acid,Ochratoxin A (i),Ochratoxin A (ii),Paraxanthine,Phenylalanine,Scopoletin,Theobromine,Theophylline,Trigonelline,Trimethylamine,Xanthine
Brew-04.d,946813,777726,1558454,636429,206149,664102,165281,205271,23575,242523,292835,153818,148850,357649,458804,313666,563314,3327573,999652,2691100,219172,554215,92916,39283,91975,301860,90896,5308244,9715500,365052,189293,136251,791705,55207190,15643197,5356959,7589779,3362971,1015178,1881974,520038,5011476,12134471,370019,2154544,485840,174798,1153035,198784,2824275,2149395,393011,416634,1215715,930849,207831,142364,546173,2942772,288800,238898,389067,462606,6416117,1303326,757538,754999,113311,2007393,1014893,153928,1393900,389880,349585,158935,162879,40942,4350666,29756,33620,238260,285267,1152903,739863,132647,1132476,661173,256148
Brew-05.d,517450,764048,2079782,316663,106066,420267,62484,113136,13126,108500,146353,49539,104272,200730,428693,215136,227900,2755028,525020,3716868,185310,409737,34253,50495,53024,245637,46448,4223976,4002604,295151,278817,153728,263882,97945008,16703301,5024811,6622480,2058103,650407,2193336,548306,5426658,12437506,373489,1424527,591891,92330,982559,155219,1352586,1418672,143224,238564,617867,421000,67276,56805,307179,895008,357502,312159,241681,430774,5276697,1040761,402253,296467,96646,709855,282137,92669,1201199,152670,305129,47256,198861,47482,1994273,5292,40689,117152,149926,696451,508592,56925,653644,844031,
Brew-10.d,687724,67112,82158,160046,210374,347529,163580,223094,12226,179544,398933,294068,45584,178801,448652,,330121,2068523,514524,2545888,75110,121677,155667,90148,,52469,887066,21616916,3930001,1599211,36555,,427182,24369973,4844203,2395228,3357855,1715258,503813,718010,276419,556528,2406439,371169,973495,317219,46341,296657,99518,6162954,7165170,1779533,2528092,1821754,2041806,104588,133450,430360,823948,130420,103441,486311,141229,5423380,1533472,1047178,820011,75301,2211461,1304426,223061,449608,315988,315019,,154832,181280,4459574,138016,17984,,2177243,768841,156913,99362,967975,683122,261416
Brew-100.d,1850889,1684735,2012948,1377175,581845,998243,580363,737999,57682,505921,858784,180274,228812,308175,771185,265332,1912483,3838850,2314711,16012,254214,564760,222894,,455764,589216,410341,1744991,32685847,185975,,178018,3993985,56369202,10196913,5012747,6577610,4967745,1386096,1027301,415870,3447759,9986528,346193,1143383,279858,448643,1060813,338874,7600576,4552024,1872334,1215406,3908519,3298448,332460,228382,1483898,7032725,126708,57249,333739,1105772,6071361,1443863,1247283,2527037,136130,5403208,7341237,346907,1690483,901281,649889,,186252,252615,23154714,193239,30483,221125,955369,3647053,1328025,83655,3519987,590896,589923
Brew-101.d,695398,1010497,2817601,276078,115270,392524,62230,160545,16413,253833,189062,81970,86819,392290,689758,164643,253666,3428890,640073,837627,254953,425072,40166,75957,46288,307895,38024,10762132,4106895,668494,404320,188818,269505,95063220,24912388,9222774,13590924,2670728,1039006,2256676,677738,6312312,14807054,363544,1708510,838576,121396,1320326,290799,1483248,1617329,158300,285572,694478,485981,65063,80392,405694,910912,743963,729663,642926,444664,8919429,1765465,580955,378983,157522,946855,288042,187204,2382831,230118,472245,39215,187094,39644,3320698,8136,54632,153107,488733,867545,561191,108280,862393,533358,239118
Brew-106.d,516927,508177,1260298,262588,170951,325087,58827,123677,12998,213886,406547,152139,163051,186173,849285,272268,238716,4391565,498405,1375008,127498,287803,45956,43084,28932,148403,83507,3656082,2459026,248092,287346,80918,280631,55626526,12309580,4503492,7054032,1654480,548209,1379307,409704,3945895,9840693,363179,1216708,295167,65834,726812,126232,2290951,1728415,354813,355796,712863,880726,101709,133911,237501,1029034,354418,278015,1242182,118409,7953336,1745521,734685,360350,198236,889127,447261,807904,884096,276267,617280,99256,187596,33586,5709554,16185,28184,201129,660333,799126,615158,499572,476878,578658,244188
Brew-108.d,622766,336323,770638,249526,256687,331296,115880,228382,25068,475661,710668,198800,204833,408619,860922,321890,459858,4436432,664410,761369,216759,236803,103772,75527,106777,115019,127164,4641475,3996482,356976,387762,45127,484819,63062844,18391202,7587409,10373748,3221427,981021,1663294,561805,3092845,7935027,327901,1600814,252603,73629,997559,312470,4231095,3106047,544905,502216,1045930,1569959,128014,132377,347175,1395929,272138,181395,949403,71484,14186120,3190327,1302119,571646,274816,1496475,767239,518869,2184263,346842,689669,67065,151070,33135,13208697,30762,46212,254854,317994,933607,936984,738815,668564,601743,329826
Brew-109.d,757412,945520,3746607,336267,85565,513209,69967,180945,21324,261915,114584,71166,40894,620583,841450,,251179,2610374,589926,2106494,427274,436700,48965,132573,45942,329915,16904,18732911,4887683,1362206,717611,254231,218315,55976850,34102707,14518768,20767365,2961576,1461780,2934799,829335,7024789,16174697,323658,3635968,1416189,102549,2118385,394317,1068970,1559429,101678,266028,690005,359166,68646,48874,518877,1041549,1485232,1402646,783408,692921,13229525,2417547,525091,394994,189411,830062,239245,241293,4694323,236406,632612,,185309,32848,2719717,7049,75147,154533,294601,932767,424835,94041,1166542,605234,266329
Brew-11.d,748840,571084,372406,81916,94681,308131,81061,185037,16959,178975,415710,300405,24833,225900,427980,298707,147223,2643016,225410,2822195,284317,110105,133530,96279,47351,118568,454474,29152483,2186946,2421944,138707,23391,50824,61739504,25150898,11882371,13660877,2736392,915110,2922649,1103956,1496126,5196667,335400,1062039,789439,,1279000,322771,5734120,10100746,1019449,2836741,1806110,1392191,40735,118268,397227,335643,1130567,918778,5903724,187425,19757407,5270795,1398725,429736,500883,894959,281211,1004926,2506903,342377,360031,107248,166947,171111,1812997,94254,62134,277069,2508079,1145397,961643,3337732,876945,646161,207754
Brew-110.d,923585,1231884,2345834,515357,308448,444079,217264,347328,33925,279257,487426,100450,138852,175321,843434,12049,1005819,2685759,1175595,756932,257952,604579,3632,54645,311022,357264,246647,858230,10920742,68751,47782,180086,1455413,45095390,9235668,3664895,5614214,3452004,876767,1023437,285068,3279429,8686462,335751,751333,314806,194540,1057062,259427,4554848,2769733,975773,742731,2040799,1971888,123508,147350,731629,2064550,210832,107668,166784,678843,4578256,926875,801718,971147,77040,2487817,2747138,164554,1246482,470889,692855,,174604,95123,19212720,86149,25239,121367,909107,1440706,553772,50917,1643677,467086,331058
