"","Formula","Mass","CAS"
"1","C10H10O",146.073165,"3782-00-1"
"2","C10H10O2S",194.04015,"13678-67-6"
"3","C10H10O2S2",226.01222,"4437-20-1"
"4","C10H10O4",194.0579088,""
"5","C10H10O4",194.0579088,""
"6","C10H11O8S",291.0174633,""
"7","C10H11O8S",291.0174633,""
"8","C10H12N4O6",284.0756842,"146-80-5"
"9","C10H12O2",164.0837296,""
"10","C10H12O2",164.0837296,""
"11","C10H12O2",164.08373,"6380-23-0"
"12","C10H12O4",196.0735589,""
"13","C10H12O4",196.0735589,""
"14","C10H13N5O5",283.0916685,""
"15","C10H13O8S",293.0331134,""
"16","C10H13O8S",293.0331134,""
"17","C10H14N2O2",194.105528,"19943-27-2"
"18","C10H14O2 ",166.09938,"5888-51-7"
"19","C10H14O2S ",198.07145,"180031-78-1"
"20","C10H14O3 ",182.094295,"13678-60-9"
"21","C10H17NO6 ",247.105589,"554-35-8"
"22","C10H20O2",172.1463299,""
"23","C10H26N4",202.2157469,""
"24","C10H8O4",192.0422587,""
"25","C10H9O8S",289.0018132,""
"26","C10H9O8S",289.0018132,""
"27","C11H10O3 ",190.062995,"149665-18-9"
"28","C11H10O3S ",222.035065,"923267-45-2"
"29","C11H10O4S ",238.02998,"923267-63-4"
"30","C11H12O4",208.0735589,""
"31","C11H12O5",224.0684735,""
"32","C11H15N4O6",299.0991592,""
"33","C11H18N2O2 ",210.136828,"57089-60-8"
"34","C11H18N2O2 ",210.136828,"2873-36-1"
"35","C11H20O10",312.1056468,""
"36","C11H8N2 ",168.068748,"244-63-3"
"37","C12H10 ",154.07825,"92-52-4"
"38","C12H10N2 ",182.084398,"486-84-0"
"39","C12H17N4OS",265.1123072,""
"40","C12H20O11 ",340.100565,"6118-79-2"
"41","C12H22O11 ",342.116215,"13117-26-5"
"42","C12H22O11 ",342.116215,"585-99-9"
"43","C12H22O11 ",342.116215,"79391-04-1 "
"44","C13H13NO6 ",279.074289,"151435-24-4 "
"45","C13H14O3S ",250.066365,"923267-58-7 "
"46","C13H14O4 ",234.08921,"151466-74-9 "
"47","C13H15N3O3 ",261.111342,"55881-18-0 "
"48","C13H18N2O5",282.1215717,""
"49","C14H10O5 ",258.052825,"3566-98-1 "
"50","C14H14O4 ",246.08921,"22649-04-3 "
"51","C14H16N2O2 ",244.121178,"3705-26-8 "
"52","C14H17NO9 ",343.090334,"28512-70-1 "
"53","C14H19NO ",217.146664,"1009318-61-9 "
"54","C14H19NO2 ",233.141579,"248259-06-5 "
"55","C14H20O9 ",332.110735,"121748-12-7 "
"56","C14H21NO9 ",347.121634,"135074-86-1 "
"57","C14H28O2",228.2089301,""
"58","C15H10O8 ",318.03757,"90332-28-8 "
"59","C15H16O5 ",276.099775,"1891-29-8 "
"60","C15H18O9 ",342.095085,"17093-82-2 "
"61","C15H19NO9 ",357.105984,"17622-26-3 "
"62","C15H20N2O2 ",260.152478,"732-50-3 "
"63","C15H20N2O2 ",260.152478,"35590-88-6 "
"64","C15H20N2O2 ",260.152478,"7280-77-5 "
"65","C15H20O ",216.151415,"17081-85-5 "
"66","C15H21NO4 ",279.147059,"  "
"67","C15H23NO9 ",361.137284,"135105-75-8 "
"68","C15H24O4 ",268.16746,"75991-58-1 "
"69","C16H14O5S2 ",350.028265,"923267-64-5 "
"70","C16H16O4 ",272.10486,"  "
"71","C16H16O4 ",272.10486,"143122-88-7 "
"72","C16H16O4 ",272.10486,"  "
"73","C16H16O7 ",320.089605,"157048-82-3 "
"74","C16H16O7 ",320.089605,"157048-80-1 "
"75","C16H16O8 ",336.08452,"157048-84-5 "
"76","C16H16O8 ",336.08452,"157089-01-5 "
"77","C16H17NO3 ",271.120844,"106032-53-5 "
"78","C16H18O10",370.0899968,""
"79","C16H18O4 ",274.12051,"119773-33-0 "
"80","C16H18O9",354.0950822,""
"81","C16H18O9",368.110735,""
"82","C16H18O9 ",354.095085,"1241-87-8 "
"83","C16H18O9 ",354.095085,"  "
"84","C16H18O9 ",354.095085,"905-99-7 "
"85","C16H18O9 ",354.095085,"  "
"86","C16H20O10",372.1056468,""
"87","C16H20O8 ",340.11582,"  "
"88","C16H21NO10 ",387.116549,"113565-33-6 "
"89","C16H22O8 ",342.13147,"124151-33-3 "
"90","C16H25NO9 ",375.152934,"51771-52-9 "
"91","C16H26O11 ",394.147515,"467242-32-6 "
"92","C16H28O11 ",396.163165,"467242-31-5 "
"93","C16H32O2",256.2402303,""
"94","C17H13NO2 ",263.094629,"41679-82-7 "
"95","C17H14O7 ",330.073955,"38934-17-7 "
"96","C17H18O8 ",350.10017,"157048-83-4 "
"97","C17H18O8 ",350.10017,"157048-81-2 "
"98","C17H19NO4 ",301.131409,"  "
"99","C17H20N4O6",376.1382844,""
"100","C17H20O9",368.1107322,""
"101","C17H20O9",368.1107322,""
"102","C17H20O9",368.1107322,""
"103","C17H20O9 ",368.110735,"62929-69-5 "
"104","C17H22 ",226.17215,"28834-02-8 "
"105","C17H22 ",226.17215,"6386-16-9 "
"106","C17H22O ",242.167065,"4117-11-7 "
"107","C17H22O9 ",370.126385,"152574-10-2 "
"108","C17H30O12 ",426.17373,"70284-38-7 "
"109","C17H34O2",270.2558803,""
"110","C18H15NO2 ",277.110279,"36285-03-7 "
"111","C18H17NO2 ",279.125929,"548-08-3 "
"112","C18H17NO5 ",327.110674,"1135133-27-5 "
"113","C18H17NO5 ",327.110674,"1135133-23-1 "
"114","C18H28O17 ",516.132655,"  "
"115","C18H30O2",278.2245802,""
"116","C18H32O16",504.1690349,""
"117","C18H32O16 ",504.16904,"61237-56-7 "
"118","C18H32O2",280.2402303,""
"119","C18H34O2",282.2558803,""
"120","C18H36O2",284.2715304,""
"121","C19H18N2O2 ",306.136828,"1135133-25-3 "
"122","C19H18O7 ",358.105255,"70588-06-6 "
"123","C19H19NO2 ",293.141579,"7630-74-2 "
"124","C19H21NO3 ",311.152144,"2128-60-1 "
"125","C19H24NO3 ",314.175619,"6871-67-6 "
"126","C20H18N2O4 ",350.126658,"  "
"127","C20H18N2O5 ",366.121573,"109163-69-1 "
"128","C20H20O9 ",404.110735,"123914-49-8 "
"129","C20H22O6 ",358.14164,"28199-68-0 "
"130","C20H26O3 ",314.188195,"6894-43-5 "
"131","C20H28O3 ",316.203845,"469-83-0 "
"132","C20H30O4 ",334.21441,"55483-24-4 "
"133","C20H31NO14 ",509.174459,"370068-00-1 "
"134","C20H36O16",532.2003351,""
"135","C20H40O ",296.307915,"62442-62-0 "
"136","C20H40O2",312.3028305,""
"137","C21H20N2O5 ",380.137223,"731773-63-0 "
"138","C21H28O9 ",424.173335,"75911-14-7 "
"139","C21H29NO10 ",455.179149,"149817-65-2 "
"140","C21H30O8 ",410.19407,"106009-45-4 "
"141","C21H30O9 ",426.188985,"75911-16-9 "
"142","C21H32O9 ",428.204635,"75911-12-5 "
"143","C22H22O10 ",446.1213,"120163-18-0 "
"144","C23H22O7 ",410.136555,"374536-44-4 "
"145","C23H22O7 ",410.136555,"65725-11-3 "
"146","C24H24O6 ",408.15729,"930773-69-6 "
"147","C24H24O6 ",408.15729,"  "
"148","C24H42O21",666.2218584,""
"149","C24H48O2",368.3654308,""
"150","C24H48O2",368.3654308,""
"151","C24H48O2",368.3654308,""
"152","C25H20O10 ",480.10565,"25166-14-7 "
"153","C25H22O10 ",482.1213,"72581-71-6 "
"154","C25H22O10 ",482.1213,"77182-66-2 "
"155","C25H22O10 ",482.1213,"33889-69-9 "
"156","C25H22O10 ",482.1213,"  "
"157","C25H22O11 ",498.116215,"1009565-36-9 "
"158","C25H22O9 ",466.126385,"70815-32-6 "
"159","C25H22O9 ",466.126385,"1021297-33-5 "
"160","C25H22O9 ",466.126385,"1021297-36-8 "
"161","C25H22O9 ",466.126385,"96291-04-2 "
"162","C25H22O9 ",466.126385,"96238-87-8 "
"163","C25H22O9 ",466.126385,"848420-95-1 "
"164","C25H22O9 ",466.126385,"1021297-35-7 "
"165","C25H22O9 ",466.126385,"96238-88-9 "
"166","C25H24O10 ",484.13695,"29782-68-1 "
"167","C25H24O12 ",516.12678,"14534-61-3 "
"168","C25H24O12 ",516.12678,"2450-53-5 "
"169","C25H24O9 ",468.142035,"70815-31-5 "
"170","C25H31NO12 ",537.184629,"162290-39-3 "
"171","C25H31NO12 ",537.184629,"162290-38-2 "
"172","C25H32O13 ",540.184295,"245724-11-2 "
"173","C25H32O14 ",556.17921,"170384-73-3 "
"174","C26H26O12 ",530.14243,"96990-65-7 "
"175","C26H30O14 ",566.16356,"119170-51-3 "
"176","C26H30O15 ",582.158475,"245724-08-7 "
"177","C26H34O14 ",570.19486,"245724-09-8 "
"178","C26H36O10 ",508.23085,"42612-19-1 "
"179","C26H36O10 ",508.23085,"70717-95-2 "
"180","C26H36O11",524.225762,"55465-97-9"
"181","C26H36O11 ",524.225765,"55465-97-9 "
"182","C26H42O10 ",514.2778,"63558-43-0 "
"183","C27H28O16 ",608.13774,"124167-98-2 "
"184","C27H30O14 ",578.16356,"54944-38-6 "
"185","C27H30O15 ",594.158475,"29432-29-9 "
"186","C27H32O15 ",596.174125,"24577-90-0 "
"187","C27H32O15 ",596.174125,"200127-93-1 "
"188","C27H34O12 ",550.20503,"217650-81-2 "
"189","C27H46O",386.3548661,""
"190","C27H48O",388.3705162,""
"191","C28H48O",400.3705162,""
"192","C28H48O",400.3705162,""
"193","C28H48O2",416.3654308,""
"194","C28H48O2",416.3654308,""
"195","C29H48O",412.3705162,"2364-23-0"
"196","C29H48O",412.3705162,"23290-26-8"
"197","C29H48O",412.370516,""
"198","C29H50O",414.3861662,"83-46-5"
"199","C29H50O",414.3861662,"6869-99-4"
"200","C29H50O",414.3861662,""
"201","C29H50O2",430.3810808,""
"202","C29H52O",416.4018163,""
"203","C29H52O",416.4018163,"83-45-4"
"204","C29H60",408.4695019,""
"205","C2H4O",44.02621475,""
"206","C30H33O20 ",713.156525,"  "
"207","C30H48O2 ",440.36543,"29367-66-6 "
"208","C30H50",410.3912516,""
"209","C30H50N2O2 ",470.387228,"21249-34-3 "
"210","C30H50O",426.3861662,""
"211","C30H50O",426.3861662,""
"212","C30H50O",426.3861662,""
"213","C30H50O",426.3861662,""
"214","C30H50O ",426.386165,"16910-32-0 "
"215","C30H52O",428.4018163,""
"216","C30H58O2 ",450.44368,"81116-08-7 "
"217","C31H50O ",438.386165,"  "
"218","C31H62O ",450.480065,"34136-52-2 "
"219","C32H44O19 ",732.247685,"1002727-58-3 "
"220","C32H46O16 ",686.27859,"158932-33-3 "
"221","C32H54N2O2 ",498.418528,"21249-35-4 "
"222","C32H54O12 ",630.36153,"150396-00-2 "
"223","C32H54O13 ",646.356445,"212773-47-2 "
"224","C32H56O13 ",648.372095,"  "
"225","C33H40O19 ",740.216385,"120181-07-9 "
"226","C33H40O20 ",756.2113,"29432-27-7 "
"227","C33H42O20 ",758.22695,"245724-07-6 "
"228","C33H42O20 ",758.22695,"1002727-59-4 "
"229","C34H58N2O2 ",526.449828,"21249-36-5 "
"230","C35H56O15 ",716.361925,"212773-48-3 "
"231","C37H42N2O6 ",610.304288,"2586-96-1 "
"232","C37H42N2O6 ",610.304288,"6817-41-0 "
"233","C37H62O6 ",602.45464,"886437-21-4 "
"234","C38H44N2O6 ",624.319938,"2292-16-2 "
"235","C38H54O20 ",830.32085,"  "
"236","C38H54O24 ",894.30051,"245724-10-1 "
"237","C38H64O16 ",776.41944,"212773-31-4 "
"238","C38H64O17 ",792.414355,"150396-01-3 "
"239","C39H32O15 ",740.174125,"85122-24-3 "
"240","C39H32O15 ",740.174125,"121651-61-4 "
"241","C39H50O24 ",902.26921,"120181-08-0 "
"242","C39H52O25 ",920.279775,"218155-40-9 "
"243","C3H4O2 ",72.02113,"78-98-8 "
"244","C3H6O ",58.041865,"123-38-6 "
"245","C3H6O2 ",74.03678,"109-94-4 "
"246","C3H6OS ",90.013935,"1534-08-3 "
"247","C3H7NO2S",121.0197495,""
"248","C3H8S ",76.03467,"624-89-5 "
"249","C3H8S3 ",139.97881,"31499-71-5 "
"250","C3H9N ",59.073499,"75-50-3 "
"251","C40H56O3 ",584.422945,"512-29-8 "
"252","C40H75NO8 ",697.549269,"127842-89-1 "
"253","C43H36O17 ",824.195255,"94474-72-3 "
"254","C44H52N10O11 ",896.381705,"125756-66-3 "
"255","C44H62O24 ",974.36311,"  "
"256","C44H74O20 ",922.47735,"212773-42-7 "
"257","C44H74O21 ",938.472265,"212773-44-9 "
"258","C45H57N9O11 ",899.417756,"150415-40-0 "
"259","C47H72O16 ",892.48204,"149636-87-3 "
"260","C47H74O17 ",910.492605,"152505-09-4 "
"261","C47H74O18 ",926.48752,"152505-08-3 "
"262","C47H76O18 ",928.50317,"152505-07-2 "
"263","C48H74O17 ",922.492605,"149636-86-2 "
"264","C49H57N9O12 ",963.412671,"150394-23-3 "
"265","C4H10OS ",106.045235,"505-10-2 "
"266","C4H12N2",88.10004839,""
"267","C4H5NS ",99.014269,"693-95-8 "
"268","C4H6O2 ",86.03678,"431-03-8 "
"269","C4H7NO4",133.0375077,""
"270","C4H8N2O3",132.0534921,""
"271","C4H8N4O4 ",176.054556,"99-16-1 "
"272","C4H8O2 ",88.05243,"5077-67-8 "
"273","C4H8O2 ",88.05243,"513-86-0 "
"274","C4H8O2 ",88.05243,"107-92-6 "
